@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2000',Unclassified,30,'Private drive or entrance',Day,'lights lit',Fine,No,Pedestrian,Female,8,Serious
'Year 2000',A,60,'Slip road',Day,'no lighting',Fine,No,'Driver or rider',Male,28,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,72,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2000',A,60,'Multiple juncion',Day,'lights lit',Fine,No,'Driver or rider',Male,45,Serious
'Year 2000',A,60,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,45,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,63,Serious
'Year 2000',A,60,Other,Day,'no lighting',Raining,No,'Driver or rider',Male,24,Serious
'Year 2000',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,19,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,32,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,54,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Male,36,Serious
'Year 2000',B,30,Other,Day,'lights lit',Fine,No,'Driver or rider',Male,34,Serious
'Year 2000',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,19,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,38.0,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,25,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,29,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,49,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,39,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Female,20.0,Serious
'Year 2000',A,50,Roundabout,Day,'lights lit',Fine,No,Passenger,Female,54,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2000',A,30,'Not a junction',Night,'lighting unknown',Raining,No,'Driver or rider',Female,62,Serious
'Year 2000',A,70,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,24,Fatal
'Year 2000',A,70,'Not a junction',Night,'no lighting',Raining,No,Passenger,Male,34,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,25,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Female,51,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Other,Unknown,'Driver or rider',Male,64,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lighting unknown',Fine,No,Pedestrian,Female,2,Serious
'Year 2000',Unclassified,40,'T,Y or staggered road',Night,'lights lit',Raining,No,'Driver or rider',Male,50,Fatal
'Year 2000',B,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,36,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,57,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,42,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,6,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,54,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,27,Serious
'Year 2000',B,30,'Not a junction',Night,'lights unlit',Raining,No,Pedestrian,Male,28,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',B,30,'Not a junction',Night,'lights lit',Raining,No,Passenger,Female,19,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,56,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Female,36,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,17,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,35,Serious
'Year 2000',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,25,Serious
'Year 2000',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Male,21,Serious
'Year 2000',A,60,'Not a junction',Night,'lighting unknown',Fine,No,'Driver or rider',Male,17,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,22.0,Serious
'Year 2000',A,40,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,31,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,7,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,42,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,23,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,58,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,34,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2000',A,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,42,Serious
'Year 2000',A,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2000',A,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,83,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,25,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,49,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,34,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,25,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,21,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Male,46,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,55,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,38.0,Serious
'Year 2000',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,39,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,76,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,75,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Male,52.0,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,33,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,85,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,87,Serious
'Year 2000',A,60,Other,Night,'no lighting',Raining,Yes,Pedestrian,Female,24,Serious
'Year 2000',A,60,'Not a junction',Day,'lighting unknown',Raining,No,'Driver or rider',Male,69,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,34,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,61.0,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,24,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,21,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,20.0,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,21,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Raining,No,Passenger,Female,35,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Raining,No,Passenger,Female,18,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,25,Fatal
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,17,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',B,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,18,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,75,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,57,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,19,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2000',A,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,68,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,25,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,17,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,26,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,51,Serious
'Year 2000',A,70,Other,Night,'no lighting',Raining,No,Pedestrian,Male,50,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,28,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,50,Serious
'Year 2000',Unclassified,40,Roundabout,Day,'lights lit',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2000',A,30,'T,Y or staggered road',Night,'lights lit',Other,Unknown,Pedestrian,Male,29,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,Passenger,Male,29,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,47,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Raining,Yes,'Driver or rider',Female,38.0,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,79,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,75,Serious
'Year 2000',Unclassified,70,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,40,Serious
'Year 2000',Unclassified,20,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,45,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,20.0,Serious
'Year 2000',Unclassified,40,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,71,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,23,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,36,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,46,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,30,Serious
'Year 2000',A,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,83,Serious
'Year 2000',A,40,'T,Y or staggered road',Night,'lights lit',Fine,Yes,'Driver or rider',Male,41.0,Serious
'Year 2000',A,40,'T,Y or staggered road',Night,'lights lit',Fine,Yes,Passenger,Female,36,Serious
'Year 2000',A,40,'T,Y or staggered road',Night,'lights lit',Fine,Yes,'Driver or rider',Male,30,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,53,Serious
'Year 2000',B,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Female,45,Serious
'Year 2000',Unclassified,30,'Slip road',Day,'lights lit',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',B,60,Crossroads,Day,'no lighting',Fine,No,Passenger,Female,27,Serious
'Year 2000',B,60,Crossroads,Day,'no lighting',Fine,No,Passenger,Male,23,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,42,Serious
'Year 2000',Unclassified,50,'T,Y or staggered road',Night,'lights lit',Fine,No,Passenger,Female,36,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,31,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,Yes,'Driver or rider',Female,90,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,37.0,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,44,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,71,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,57,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,84,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,87,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'no lighting',Fine,Yes,'Driver or rider',Male,16,Serious
'Year 2000',B,30,'T,Y or staggered road',Night,'lights unlit',Fine,No,Passenger,Male,91,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,38.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,64,Serious
'Year 2000',A,40,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,39,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,36,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights unlit',Fine,No,'Driver or rider',Female,28,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Passenger,Male,14,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2000',A,30,Crossroads,Night,'lights lit',Fine,No,Pedestrian,Male,22.0,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,32,Serious
'Year 2000',B,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,26,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,41.0,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Female,21,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,4,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,51,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Snowing,Yes,'Driver or rider',Male,27,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Snowing,Yes,'Driver or rider',Male,19,Serious
'Year 2000',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,Pedestrian,Female,51,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,60,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Female,81,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,15,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,45,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,43,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,24,Fatal
'Year 2000',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Male,30,Serious
'Year 2000',A,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Male,28,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,29,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,29,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,53,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,25,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,21,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,70,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,49,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,41.0,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,40,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,27,Fatal
'Year 2000',Unclassified,40,Roundabout,Day,'lights lit',Fine,No,'Driver or rider',Male,36,Serious
'Year 2000',A,70,Other,Day,'no lighting',Raining,No,'Driver or rider',Male,58,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,19,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,55,Serious
'Year 2000',A,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,47,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,19,Serious
'Year 2000',B,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,25,Serious
'Year 2000',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,14,Serious
'Year 2000',B,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,22.0,Serious
'Year 2000',A,40,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,55,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2000',B,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,47,Serious
'Year 2000',B,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,45,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,47,Serious
'Year 2000',Unclassified,60,Crossroads,Day,'no lighting',Raining,No,'Driver or rider',Male,31,Serious
'Year 2000',Unclassified,60,Crossroads,Day,'no lighting',Raining,No,'Driver or rider',Female,19,Serious
'Year 2000',Unclassified,60,Crossroads,Day,'no lighting',Raining,No,Passenger,Female,15,Serious
'Year 2000',Unclassified,30,Roundabout,Day,'lights lit',Fine,No,Pedestrian,Male,6,Serious
'Year 2000',Unclassified,30,Other,Day,'lights lit',Unknown,Unknown,Passenger,Female,62,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,10,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,30,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Female,14,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,51,Fatal
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,17,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,5,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,43,Serious
'Year 2000',A,40,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,24,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,67,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,60,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,44,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,30,Serious
'Year 2000',B,60,Crossroads,Day,'no lighting',Fine,No,Passenger,Female,16,Fatal
'Year 2000',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,18,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,46,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,40,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,64,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,61.0,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,21,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,32,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,32,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,67,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,17,Fatal
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,31,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,62,Fatal
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,50,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,83,Serious
'Year 2000',Unclassified,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,57,Fatal
